State,Year,Month,avgtemp(F)
Indiana,2006,2,31.7
Indiana,2006,3,40.7
Indiana,2006,4,55.7
Indiana,2006,5,60.1
Indiana,2006,6,69.8
Indiana,2006,7,75.4
Indiana,2006,8,73.6
Indiana,2006,9,62.5
Indiana,2006,10,51.1
Indiana,2006,11,44.1
Indiana,2006,12,37.3
Indiana,2007,1,32.2
Indiana,2007,2,20.2
Indiana,2007,3,47
Indiana,2007,4,49.4
Indiana,2007,5,66.3
Indiana,2007,6,72.1
Indiana,2007,7,71.9
Indiana,2007,8,76.9
Indiana,2007,9,69
Indiana,2007,10,60.2
Indiana,2007,11,41.9
Indiana,2007,12,32.6
Indiana,2008,1,27.7
Indiana,2008,2,28.2
Indiana,2008,3,38.6
Indiana,2008,4,52.3
Indiana,2008,5,58.1
Indiana,2008,6,72.2
Indiana,2008,7,73.3
Indiana,2008,8,71.2
Indiana,2008,9,67.6
Indiana,2008,10,53.7
Indiana,2008,11,40.5
Indiana,2008,12,29.1
Indiana,2009,1,21.4
Indiana,2009,2,32.2
Indiana,2009,3,44.2
Indiana,2009,4,51.5
Indiana,2009,5,62
Indiana,2009,6,71.6
Indiana,2009,7,69.2
Indiana,2009,8,70.7
Indiana,2009,9,65.5
Indiana,2009,10,50.5
Indiana,2009,11,46.3
Indiana,2009,12,30.4
Indiana,2010,1,23.9
Indiana,2010,2,25.7
Indiana,2010,3,43.6
Indiana,2010,4,57.3
Indiana,2010,5,64.3
Indiana,2010,6,74.1
Indiana,2010,7,76.4
Indiana,2010,8,75.7
Indiana,2010,9,67.2
Indiana,2010,10,56
Indiana,2010,11,42.8
Indiana,2010,12,24.3
Indiana,2011,1,23.7
Indiana,2011,2,31.2
Indiana,2011,3,41.7
Indiana,2011,4,53
Indiana,2011,5,62.1
Indiana,2011,6,72.2
Indiana,2011,7,78.8
Indiana,2011,8,73.1
Indiana,2011,9,63.6
Indiana,2011,10,53.9
Indiana,2011,11,46.9
Indiana,2011,12,36.6
Indiana,2012,1,32.4
Indiana,2012,2,35.4
Indiana,2012,3,55
Indiana,2012,4,52.9
Indiana,2012,5,67.7
Indiana,2012,6,71.6
Indiana,2012,7,80.2
Indiana,2012,8,71.9
Indiana,2012,9,64.2
Indiana,2012,10,52.1
Indiana,2012,11,40.1
Indiana,2012,12,38.2
Indiana,2013,1,29.9
Indiana,2013,2,30.2
Indiana,2013,3,34.8
Indiana,2013,4,50.8
Indiana,2013,5,64.4
Indiana,2013,6,70.8
Indiana,2013,7,72.3
Indiana,2013,8,71.5
Indiana,2013,9,66.9
Indiana,2013,10,54.3
Indiana,2013,11,39.2
Indiana,2013,12,29.4
Indiana,2014,1,19.4
Indiana,2014,2,22
Indiana,2014,3,34.1
Indiana,2014,4,52.4
Indiana,2014,5,62.9
Indiana,2014,6,72.6
Indiana,2014,7,69.1
Indiana,2014,8,72.4
Indiana,2014,9,64
Indiana,2014,10,53.8
Indiana,2014,11,35.6
Indiana,2014,12,34.6
Indiana,2015,1,25.3
Indiana,2015,2,19.3
Indiana,2015,3,37.2
Indiana,2015,4,52.9
Indiana,2015,5,65
Indiana,2015,6,71
Indiana,2015,7,72.9
Indiana,2015,8,70.6
Indiana,2015,9,68.8
Indiana,2015,10,55.6
Indiana,2015,11,46.6
Indiana,2015,12,42.5
Iowa,2000,1,21.6
Iowa,2000,2,32.5
Iowa,2000,3,43.1
Iowa,2000,4,49.4
Iowa,2000,5,62.8
Iowa,2000,6,67.7
Iowa,2000,7,72.2
Iowa,2000,8,72.7
Iowa,2000,9,64.6
Iowa,2000,10,54.8
Iowa,2000,11,32.2
Iowa,2000,12,10
Iowa,2001,1,20.8
Iowa,2001,2,18.1
Iowa,2001,3,30.2
Iowa,2001,4,52.7
Iowa,2001,5,60.9
Iowa,2001,6,68.3
Iowa,2001,7,75.1
Iowa,2001,8,72.5
Iowa,2001,9,61.3
Iowa,2001,10,50.2
Iowa,2001,11,48
Iowa,2001,12,30.7
Iowa,2002,1,28.6
Iowa,2002,2,29.8
Iowa,2002,3,31
Iowa,2002,4,48.9
Iowa,2002,5,56.8
Iowa,2002,6,72.4
Iowa,2002,7,76.5
Iowa,2002,8,70.9
Iowa,2002,9,65.3
Iowa,2002,10,46.2
Iowa,2002,11,34.7
Iowa,2002,12,28.9
Iowa,2003,1,19.1
Iowa,2003,2,20.4
Iowa,2003,3,35.1
Iowa,2003,4,50.4
Iowa,2003,5,57.9
Iowa,2003,6,67.3
Iowa,2003,7,73.1
Iowa,2003,8,74.1
Iowa,2003,9,61.1
Iowa,2003,10,52.4
Iowa,2003,11,35.9
Iowa,2003,12,28.2
Iowa,2004,1,17.7
Iowa,2004,2,22.7
Iowa,2004,3,40.8
Iowa,2004,4,51.1
Iowa,2004,5,60.7
Iowa,2004,6,67
Iowa,2004,7,70.5
Iowa,2004,8,66.3
Iowa,2004,9,66.4
Iowa,2004,10,51.9
Iowa,2004,11,40.6
Iowa,2004,12,26.6
Iowa,2005,1,18.9
Iowa,2005,2,31.2
Iowa,2005,3,36
Iowa,2005,4,53.4
Iowa,2005,5,57.8
Iowa,2005,6,72.6
Iowa,2005,7,74.7
Iowa,2005,8,71.5
Iowa,2005,9,67.6
Iowa,2005,10,52.6
Iowa,2005,11,39.6
Iowa,2005,12,19.5
Iowa,2006,1,32.4
Iowa,2006,2,25.1
Iowa,2006,3,36.5
Iowa,2006,4,53.8
Iowa,2006,5,60.6
Iowa,2006,6,70
Iowa,2006,7,75.9
Iowa,2006,8,72.1
Iowa,2006,9,60
Iowa,2006,10,47.9
Iowa,2006,11,39.3
Iowa,2006,12,31.1
Iowa,2007,1,21.6
Iowa,2007,2,15.5
Iowa,2007,3,41.8
Iowa,2007,4,46.7
Iowa,2007,5,64.7
Iowa,2007,6,70.4
Iowa,2007,7,73.7
Iowa,2007,8,74.2
Iowa,2007,9,64.7
Iowa,2007,10,55.9
Iowa,2007,11,37.2
Iowa,2007,12,20.3
Iowa,2008,1,16.6
Iowa,2008,2,17
Iowa,2008,3,32.6
Iowa,2008,4,46
Iowa,2008,5,57.4
Iowa,2008,6,69.3
Iowa,2008,7,73.1
Iowa,2008,8,69.9
Iowa,2008,9,63.5
Iowa,2008,10,50.7
Iowa,2008,11,37.3
Iowa,2008,12,17.6
Iowa,2009,1,13.2
Iowa,2009,2,26.7
Iowa,2009,3,37.1
Iowa,2009,4,47
Iowa,2009,5,59.8
Iowa,2009,6,68.9
Iowa,2009,7,68
Iowa,2009,8,68.3
Iowa,2009,9,63.3
Iowa,2009,10,44.9
Iowa,2009,11,43.4
Iowa,2009,12,19.8
Iowa,2010,1,13.6
Iowa,2010,2,17.3
Iowa,2010,3,38.4
Iowa,2010,4,55.2
Iowa,2010,5,59.9
Iowa,2010,6,70.8
Iowa,2010,7,74.6
Iowa,2010,8,74.4
Iowa,2010,9,63.1
Iowa,2010,10,53.9
Iowa,2010,11,38
Iowa,2010,12,19.1
Iowa,2011,1,14.9
Iowa,2011,2,22.6
Iowa,2011,3,35.1
Iowa,2011,4,47.6
Iowa,2011,5,59.1
Iowa,2011,6,69.6
Iowa,2011,7,78
Iowa,2011,8,72
Iowa,2011,9,60.2
Iowa,2011,10,53.4
Iowa,2011,11,39.4
Iowa,2011,12,29.1
Iowa,2012,1,26.5
Iowa,2012,2,29.6
Iowa,2012,3,51.6
Iowa,2012,4,52.4
Iowa,2012,5,65.1
Iowa,2012,6,71.4
Iowa,2012,7,79.6
Iowa,2012,8,71
Iowa,2012,9,62.1
Iowa,2012,10,48.8
Iowa,2012,11,39.2
Iowa,2012,12,27.7
Iowa,2013,1,22
Iowa,2013,2,24.2
Iowa,2013,3,29
Iowa,2013,4,43.8
Iowa,2013,5,59
Iowa,2013,6,68.9
Iowa,2013,7,72.3
Iowa,2013,8,71.9
Iowa,2013,9,67
Iowa,2013,10,50.5
Iowa,2013,11,33.9
Iowa,2013,12,17.4
Iowa,2014,1,14.2
Iowa,2014,2,13.2
Iowa,2014,3,29.7
Iowa,2014,4,47.5
Iowa,2014,5,60
Iowa,2014,6,70.2
Iowa,2014,7,68.8
Iowa,2014,8,71.2
Iowa,2014,9,62
Iowa,2014,10,51.2
Iowa,2014,11,29.3
Iowa,2014,12,28.2
Iowa,2015,1,21.6
Iowa,2015,2,14.5
Iowa,2015,3,37.3
Iowa,2015,4,51.1
Iowa,2015,5,60
Iowa,2015,6,69.4
Iowa,2015,7,72
Iowa,2015,8,68.9
Iowa,2015,9,68.4
Iowa,2015,10,53
Iowa,2015,11,42
Iowa,2015,12,33
Kansas,2000,1,33.3
Kansas,2000,2,41.1
Kansas,2000,3,46.3
Kansas,2000,4,53.9
Kansas,2000,5,66.5
Kansas,2000,6,72
Kansas,2000,7,79
Kansas,2000,8,83
Kansas,2000,9,71.1
Kansas,2000,10,59.4
Kansas,2000,11,36.8
Kansas,2000,12,24.2
Kansas,2001,1,31
Kansas,2001,2,30.4
Kansas,2001,3,41.1
Kansas,2001,4,58.3
Kansas,2001,5,65.1
Kansas,2001,6,72.9
Kansas,2001,7,83
Kansas,2001,8,79
Kansas,2001,9,67.9
Kansas,2001,10,56.2
Kansas,2001,11,49.2
Kansas,2001,12,36.9
Kansas,2002,1,33.8
Kansas,2002,2,35.9
Kansas,2002,3,39.2
Kansas,2002,4,56.4
Kansas,2002,5,62.1
Kansas,2002,6,76.9
Kansas,2002,7,80.7
Kansas,2002,8,78.4
Kansas,2002,9,70.4
Kansas,2002,10,50.5
Kansas,2002,11,42.4
Kansas,2002,12,35.5
Kansas,2003,1,31.8
Kansas,2003,2,31.3
Kansas,2003,3,44.2
Kansas,2003,4,56.1
Kansas,2003,5,62.9
Kansas,2003,6,70.4
Kansas,2003,7,81.8
Kansas,2003,8,80.2
Kansas,2003,9,65.1
Kansas,2003,10,58.3
Kansas,2003,11,42.2
Kansas,2003,12,35.3
Kansas,2004,1,30.4
Kansas,2004,2,31.8
